matchnum,queue,result,duration,champion,spell1,spell2,keystone,rune,kills,deaths,assists,level,csscore,killpct,class
356,ARAM,DEFEAT,16:13,ZILEAN,Clarity,Flash,Summon Aery,Inspiration,5,7,14,15,60,68%,Support
357,ARAM,DEFEAT,23:17,NIDALEE,Clarity,Flash,Dark Harvest,Precision,10,12,22,18,50,73%,Assassin
358,ARAM,VICTORY,17:51,VAYNE,Heal,Flash,Press the Attack,Domination,10,4,24,18,37,69%,Marksman
359,ARAM,DEFEAT,19:13,PANTHEON,Mark,Flash,Electrocute,Precision,7,10,15,16,20,59%,Fighter
360,ARAM,DEFEAT,27:39,MALPHITE,Mark,Flash,Arcane Comet,Domination,9,15,23,18,42,82%,Tank
361,ARAM,DEFEAT,23:27,GAREN,Mark,Flash,Grasp of the Undying,Inspiration,7,12,16,18,39,55%,Fighter
362,ARAM,VICTORY,23:02,NIDALEE,Clarity,Flash,Arcane Comet,Domination,5,8,35,18,51,68%,Assassin
363,ARAM,VICTORY,18:39,KAYLE,Heal,Flash,Lethal Tempo,Domination,13,8,19,17,86,94%,Fighter
364,ARAM,DEFEAT,20:10,CORKI,Clarity,Flash,Press the Attack,Sorcery,6,10,25,17,28,70%,Marksman
365,ARAM,VICTORY,15:54,CORKI,Clarity,Flash,Arcane Comet,Precision,10,6,16,15,25,74%,Marksman
366,ARAM,VICTORY,23:39,ZAC,Mark,Flash,Aftershock,Inspiration,12,10,23,18,58,81%,Tank
367,ARAM,DEFEAT,19:46,MALPHITE,Mark,Flash,Grasp of the Undying,Sorcery,16,10,24,18,40,85%,Tank
368,ARAM,DEFEAT,17:47,TWISTEDFATE,Mark,Flash,Electrocute,Precision,4,4,14,16,35,64%,Mage
369,ARAM,VICTORY,16:24,SONA,Clarity,Flash,Summon Aery,Inspiration,4,4,39,18,24,96%,Support
370,ARAM,DEFEAT,15:47,MALPHITE,Mark,Flash,Grasp of the Undying,Sorcery,4,11,12,13,29,59%,Tank
371,ARAM,DEFEAT,26:56,TWISTEDFATE,Clarity,Flash,Arcane Comet,Precision,7,13,29,18,88,77%,Mage
372,ARAM,VICTORY,17:03,EVELYNN,Mark,Flash,Electrocute,Sorcery,2,9,21,16,14,50%,Assassin
373,ARAM,VICTORY,13:33,SION,Mark,Flash,Grasp of the Undying,Sorcery,11,5,20,15,18,67%,Tank
374,ARAM,DEFEAT,14:23,AMUMU,Mark,Flash,Aftershock,Precision,3,7,9,13,23,80%,Tank
375,ARAM,VICTORY,19:54,JINX,Heal,Flash,Fleet Footwork,Sorcery,10,11,20,18,60,70%,Marksman
376,ARAM,DEFEAT,17:57,KAYN,Mark,Flash,Electrocute,Precision,8,12,8,16,21,50%,Assassin
377,ARAM,VICTORY,17:24,GAREN,Mark,Flash,Grasp of the Undying,Sorcery,4,9,26,16,16,67%,Fighter
378,ARAM,VICTORY,20:32,SINGED,Mark,Flash,Dark Harvest,Sorcery,10,11,25,18,47,80%,Tank
379,ARAM,DEFEAT,17:26,GAREN,Mark,Flash,Grasp of the Undying,Sorcery,12,10,8,16,36,77%,Fighter
380,ARAM,DEFEAT,15:23,VAYNE,Heal,Flash,Press the Attack,Domination,9,9,8,15,40,57%,Marksman
381,ARAM,VICTORY,27:20,CORKI,Heal,Flash,Fleet Footwork,Sorcery,14,15,43,18,73,74%,Marksman
382,ARAM,DEFEAT,16:27,CAITLYN,Heal,Flash,Fleet Footwork,Inspiration,7,10,12,14,31,58%,Marksman
383,ARAM,VICTORY,21:19,VARUS,Clarity,Flash,Press the Attack,Domination,7,11,33,18,61,80%,Marksman
